"baseMean","log2FoldChange","lfcSE","pvalue","padj","pathway","meanNorm_sev","prev_sev","description","label"
1205.72781044715,-3.39015490380138,1.32280059002306,0.00053535120477323,0.00652549711764126,"ALLANTOINDEG-PWY",1580.18200045892,1,"superpathway of allantoin degradation in yeast","superpathway of allantoin degradation in yeast"
7.6469403304021,-14.2990937359159,7.08905757335003,0.000109509480133684,0.00248051456375688,"ARGDEG-IV-PWY",183.035961978387,0.111111111111111,"L-arginine degradation VIII (arginine oxidase pathway)","L-arginine degradation VIII (arginine oxidase pathway)"
976.668628447984,-4.18586042242024,2.12514037831088,0.00142454363040689,0.0152968851741311,"AST-PWY",852.358917720874,1,"L-arginine degradation II (AST pathway)","L-arginine degradation II (AST pathway)"
687.665143092535,-4.82867643532625,1.46384866898798,0.000122390813720988,0.00248051456375688,"CATECHOL-ORTHO-CLEAVAGE-PWY",1351.73290274897,1,"catechol degradation to &beta;-ketoadipate","catechol degradation to &beta;-ketoadipate"
17.3893343472969,-4.52294923049259,3.25649304319668,0.00332176341701371,0.0293748098249644,"CODH-PWY",25.8152357689151,0.388888888888889,"reductive acetyl coenzyme A pathway","reductive acetyl coenzyme A pathway"
811.508856616787,-6.42452212481624,1.79792720231895,3.97191146357182e-05,0.00135891085796631,"DHGLUCONATE-PYR-CAT-PWY",697.524682216125,0.833333333333333,"glucose degradation (oxidative)","glucose degradation (oxidative)"
5205.18317076714,-3.97831271918119,1.23449561984833,0.000159500936472172,0.00248051456375688,"FAO-PWY",6960.07015166579,0.944444444444444,"fatty acid &beta;-oxidation I","fatty acid &beta;-oxidation I"
1788.95413618973,-2.02365315338164,1.46554298686172,0.0039894920957482,0.0333196469478229,"GALACTARDEG-PWY",1475.64202309669,1,"D-galactarate degradation I","D-galactarate degradation I"
1788.95413618973,-2.02365315338164,1.46554298686172,0.0039894920957482,0.0333196469478229,"GLUCARGALACTSUPER-PWY",1475.64202309669,1,"superpathway of D-glucarate and D-galactarate degradation","superpathway of D-glucarate and D-galactarate degradation"
985.069547853546,-2.16344662643139,1.31935166862908,0.0023337615965007,0.0220617744248651,"GLYCOL-GLYOXDEG-PWY",644.448384139902,0.944444444444444,"superpathway of glycol metabolism and degradation","superpathway of glycol metabolism and degradation"
